[2016-05-24 06:19:02] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:02] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:02] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:02] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:03] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:03] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:03] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:03] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:03] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:03] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:03] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:03] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:03] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:03] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:03] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:03] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:03] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:03] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:03] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:03] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:03] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:03] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:03] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:03] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:04] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:04] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
